Store ID,Store GPS,Zone
32364,"-26.0157341,28.1877805",
32410,"-26.2306451,27.9121618",
32476,"-25.969055,28.1972859",
32482,"-25.9859239,28.2026749",
32487,"-25.9824065,28.1957018",
32514,"-25.9820642,28.2079872",
32512,"-25.9847749,28.2173916",
32544,"-26.2599229,27.952908",
32551,"-26.2208283,27.8288733",
32558,"-26.2395426,27.9499793",
32566,"-26.2194189,27.9062695",
32569,"-26.2270177,27.9223352",
32574,"-26.2379926,27.9285551",
32666,"-26.2238393,27.9280123",
32663,"-26.2404446,27.9117378",
32672,"-26.2274273,27.9335043",
32680,"-26.2214054,27.8119092",
32688,"-26.2147542,27.9490659",
32711,"-26.0221356,28.212692",
32721,"-26.0362619,28.2203158",
32823,"-26.0134807,28.1696705",
32826,"-26.0039782,28.1921677",
32832,"-26.0008076,28.1943612",
32837,"-26.2364954,27.9419251",
32847,"-25.9938436,28.1888773",
32850,"-25.9852521,28.1991138",
32853,"-26.2342866,27.944756",
