Account,Acc Name,Del Name,Delivery Add1,Delivery Add2,Delivery Add3,Postal Code
TA1015352,NEBULA COMPUTER SUPPORT CC,NEBULA COMPUTER SUPPORT CC,20 IDA ROAD,THE REEDS,CENTURION  PTA,'1685
TA1015356,TRIMOS-SYLVAC SA (PTY) LTD,TRIMOS-SYLVAC SA (PTY) LTD,UNIT 6 DISPLAY GARDENS,SAREL BAARD CRESENT,GATEWAY INDUSTRIAL PARK - CENTURION,'0145
TA1015361,THRUSTRON COMPUTERS,THRUSTRON COMPUTERS,493 GRYSBOK STREET,WATERKLOOF RIDGE,PRETORIA,'0181
TA1015362,CHEMETRIX (PTY) LTD,CHEMETRIX (PTY) LTD,STANFORD BUSINESS PARK,UNIT 7 NO 817 16TH ROAD,MIDRAND,'1685
TA1015363,A K KARA (PTY) LTD,A K KARA (PTY) LTD,SHOP 1: INDIAN CENTRE,POTCHEFSTROOM,POTCHEFSTROOM,'2520
TA1015378,PRINTOUT SWAZILAND (PTY) LTD,PRINTOUT SWAZILAND (PTY) LTD,LANSDOWNE HOUSE,POST STREET,MBABANE,'M200
TA1015385,T C S COMPUTERS,T C S COMPUTERS,6 VILLA PLACE,TOSCA ROAD,SUNWARD PARK BOKSBURG JHB,'1418
TA1015395,QUEST COMMUNICATIONS CC,QUEST COMMUNICATIONS CC,7 MELLIS ROAD,2ND FLOOR BRADENHAM HALL,NORTH BLOCK RIVONIA,'2052
TA1015399,SIX SQUARE NETWORKS,SIX SQUARE NETWORKS,BOND BUSINESS PARK  CNR BOND STREET,& KENT AVENUE  UNIT 4 BENTON HOUSE,FERNDALE  JHB,'2118
TA1015402,FARANANI (PTY) LTD,FARANANI (PTY) LTD,167 14TH ROAD ,NOORDWYK,MIDRAND,'0169
TA1015403,C N E COMPUTER NETWORK ENGINEERING CC,C N E COMPUTER NETWORK ENGINEERING CC,341 SPUR RD,KYALAMI,JHB,'1684
TA1015412,PIMPANO THREE (PTY) LTD,PIMPANO THREE (PTY) LTD,8 SIRKOON STREET,JUKSKEI PARK,JUKSKEI PARK,'2153
TA1015413,SARABAND (PTY) LTD,SARABAND (PTY) LTD,94 CONRAD DRIVE,BLAIRGOWRIE,BLAIRGOWRIE,'2125
TA1015419,ZAMANGUNI AUTOMATION (PTY) LTD,ZAMANGUNI AUTOMATION (PTY) LTD,55 MAIN STREET  BORDEAUX,ACROSS SHELL GARAGE,RANDBURG,'2000
TA1015421,PARITY SOFTWARE CC,PARITY SOFTWARE CC,4TH STREET,71 GLENHOVE SQUARD,HOUGHTON  JHB,'2037
TA1015425,MILTON LAVENSKI PHOTOGRAPHIC,MILTON LAVENSKI PHOTOGRAPHIC,11 CARDIFF ROAD,PARKWOOD,2193,'2193
TA1015428,FOLIOSKRYFBEHOEFTES (EDMS) BPK,FOLIOSKRYFBEHOEFTES (EDMS) BPK,602 MORELETA STREET,SILVERTON,SILVERTON,'0001
TA1015436,MAAZA COMPUTER TECHNOLOGIES CC,MAAZA COMPUTER TECHNOLOGIES CC,22 SEAGULL STREET,LENASIA,LENASIA,'1820
TA1015439,MICRO MET SCIENTIFIC CC,MICRO MET SCIENTIFIC CC,72 THE BRAIDS ROAD,GREENSIDE,JOHANNESBURG,'2034
TA1015440,DALITSO BUSINESS EQUIPMENT (PTY) LTD,DALITSO BUSINESS EQUIPMENT (PTY) LTD,XAVIER JUNCTION,194 KIMBERLEY CORNER ALAMAIN ROADS,ROBERTSHAM JHB 2091,'2135
TA1015441,SYREX (PTY) LTD,SYREX (PTY) LTD,CURZON ROAD TURNBERRY OFFICE PARK,GROSVENOR ROAD,BRYANSTON GAUTENG,'2021
TA1015450,DATA ABSTRACTION (PTY) LTD,DATA ABSTRACTION (PTY) LTD,2ND FLOOR ST DAVIDS PARK,7 ST DAVIDS PLACE ,PARKTOWN,'2041
TA1015476,RAM ROOS CC,RAM ROOS CC,19 BASALT AVENUE,ZWARTKOP EXT 8,CENTURION,'0046
